Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
1.9960864,-114419.359375,0.0,0.0290803,2,2.0,0.0
1.9954107,-114203.7734375,0.0,0.0290754,2,2.0,0.0
1.9947851,-114084.1640625,0.0,0.0290717,2,1.99,-0.010000000000000009
1.9961628,-113880.4609375,0.0,0.0290638,2,2.0,0.010000000000000009
1.9950181,-113605.109375,0.0,0.0290572,2,2.0,0.0
1.9955266,-113484.96875,0.0,0.0290503,2,2.0,0.0
1.9960707,-113209.75,0.0,0.0290431,2,2.0,0.0
1.9949659,-112982.2578125,0.0,0.0290333,2,1.99,-0.010000000000000009
1.9960108,-112766.6796875,0.0,0.0290263,2,2.0,0.010000000000000009
1.9956334,-112491.2578125,0.0,0.0290197,2,2.0,0.0
1.9953805,-112263.75,0.0,0.0290117,2,2.0,0.0
1.9961821,-112036.09375,0.0,0.0290045,2,2.0,0.0
1.9948128,-111796.265625,0.0,0.0289959,2,1.99,-0.010000000000000009
1.9959996,-111556.65625,0.0,0.028987,2,2.0,0.010000000000000009
1.9945843,-111353.328125,0.0,0.0289824,2,1.99,-0.010000000000000009
1.9953678,-111221.484375,0.0,0.0289785,2,2.0,0.010000000000000009
1.9959627,-111041.859375,0.0,0.028971,2,2.0,0.0
1.9945647,-110826.3359375,0.0,0.0289624,2,1.99,-0.010000000000000009
1.9957267,-110479.1171875,0.0,0.0289553,2,2.0,0.010000000000000009
1.994858,-110239.4765625,0.0,0.0289454,2,1.99,-0.010000000000000009
1.9954455,-110011.765625,0.0,0.0289385,2,2.0,0.010000000000000009
1.9958837,-109724.59375,0.0,0.0289297,2,2.0,0.0
1.9949471,-109497.0078125,0.0,0.0289224,2,1.99,-0.010000000000000009
1.995173,-109269.453125,0.0,0.0289178,2,2.0,0.010000000000000009
1.9959217,-109042.2421875,0.0,0.0289106,2,2.0,0.0
1.9946789,-108802.828125,0.0,0.0289025,2,1.99,-0.010000000000000009
1.9961524,-108526.5625,0.0,0.0288957,2,2.0,0.010000000000000009
1.9949584,-108286.7109375,0.0,0.0288863,2,1.99,-0.010000000000000009
1.9955741,-107951.515625,0.0,0.0288779,2,2.0,0.010000000000000009
1.9955699,-107724.03125,0.0,0.0288711,2,2.0,0.0
1.9948778,-107484.7109375,0.0,0.0288654,2,1.99,-0.010000000000000009
1.9950304,-107305.15625,0.0,0.0288582,2,2.0,0.010000000000000009
1.9955176,-107089.6640625,0.0,0.0288528,2,2.0,0.0
1.9953537,-106849.671875,0.0,0.0288442,2,2.0,0.0
1.995454,-106610.4453125,0.0,0.0288359,2,2.0,0.0
1.9956222,-106227.1015625,0.0,0.0288257,2,2.0,0.0
1.9949316,-105963.53125,0.0,0.0288161,2,1.99,-0.010000000000000009
1.9954594,-105676.3515625,0.0,0.0288055,2,2.0,0.010000000000000009
1.9954722,-105424.9140625,0.0,0.0287978,2,2.0,0.0
1.9951699,-105197.453125,0.0,0.0287901,2,2.0,0.0
1.995273,-104981.921875,0.0,0.0287848,2,2.0,0.0
1.99502,-104742.6875,0.0,0.0287769,2,2.0,0.0
1.9951303,-104635.0,0.0,0.0287702,2,2.0,0.0
1.9957407,-104395.3671875,0.0,0.0287642,2,2.0,0.0
1.9952533,-104239.71875,0.0,0.0287574,2,2.0,0.0
1.9955244,-103988.5,0.0,0.0287474,2,2.0,0.0
1.9951035,-103760.7109375,0.0,0.0287388,2,2.0,0.0
1.9953591,-103533.1015625,0.0,0.0287331,2,2.0,0.0
1.994814,-103305.296875,0.0,0.0287238,2,1.99,-0.010000000000000009
1.9957293,-103078.0859375,0.0,0.0287164,2,2.0,0.010000000000000009
1.9950271,-102886.4296875,0.0,0.0287081,2,2.0,0.0
1.99492,-102659.0703125,0.0,0.0286991,2,1.99,-0.010000000000000009
1.9953929,-102407.6796875,0.0,0.0286918,2,2.0,0.010000000000000009
1.9951317,-102216.1015625,0.0,0.0286854,2,2.0,0.0
1.9950725,-101987.953125,0.0,0.028677,2,2.0,0.0
1.9952446,-101760.5234375,0.0,0.028669,2,2.0,0.0
1.9953774,-101533.1015625,0.0,0.0286617,2,2.0,0.0
1.9948521,-101341.5703125,0.0,0.0286535,2,1.99,-0.010000000000000009
1.9952404,-101102.0078125,0.0,0.0286454,2,2.0,0.010000000000000009
1.9954623,-100886.5,0.0,0.0286404,2,2.0,0.0
1.9951134,-100658.96875,0.0,0.028633,2,2.0,0.0
1.9946955,-100419.328125,0.0,0.0286243,2,1.99,-0.010000000000000009
1.995434,-100132.046875,0.0,0.0286165,2,2.0,0.010000000000000009
1.9947393,-99916.421875,0.0,0.0286103,2,1.99,-0.010000000000000009
1.9958974,-99665.109375,0.0,0.0286032,2,2.0,0.010000000000000009
1.9947534,-99461.28125,0.0,0.0285974,2,1.99,-0.010000000000000009
1.9957801,-99186.1640625,0.0,0.0285903,2,2.0,0.010000000000000009
1.9950342,-98982.5859375,0.0,0.028586,2,2.0,0.0
1.9947364,-98754.5078125,0.0,0.0285796,2,1.99,-0.010000000000000009
1.995528,-98418.9921875,0.0,0.0285703,2,2.0,0.010000000000000009
1.9947299,-98119.796875,0.0,0.0285639,2,1.99,-0.010000000000000009
1.995645,-97916.171875,0.0,0.0285601,2,2.0,0.010000000000000009
1.994778,-97688.8671875,0.0,0.0285549,2,1.99,-0.010000000000000009
1.9957412,-97497.078125,0.0,0.0285489,2,2.0,0.010000000000000009
1.9948232,-97161.8046875,0.0,0.0285419,2,1.99,-0.010000000000000009
1.9949476,-96922.1171875,0.0,0.0285347,2,1.99,0.0
1.9946468,-96706.71875,0.0,0.0285305,2,1.99,0.0
1.9956069,-96479.234375,0.0,0.0285247,2,2.0,0.010000000000000009
1.9947525,-96239.796875,0.0,0.0285174,2,1.99,-0.010000000000000009
1.9957031,-96000.421875,0.0,0.0285133,2,2.0,0.010000000000000009
1.994692,-95832.65625,0.0,0.0285082,2,1.99,-0.010000000000000009
1.9956634,-95605.1171875,0.0,0.0285018,2,2.0,0.010000000000000009
