Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo
162.7363281,-0.269788533449173,90.0144,0.025109,2
162.4120789,-0.269788533449173,90.0144,0.025113,2
162.1252594,-0.269788533449173,90.0144,0.025115,2
161.8665619,-0.269788533449173,90.0144,0.025118,2
161.4760437,-0.269788533449173,90.0144,0.025123,2
161.1316223,-0.269788533449173,90.0144,0.025127,2
160.8029633,-0.269788533449173,90.0144,0.025131,2
160.412735,-0.269788533449173,90.0144,0.025134,2
160.0836792,-0.269788533449173,90.0144,0.025137,2
159.7503204,-0.269788533449173,90.0144,0.02514,2
159.4194031,-0.269788533449173,90.0144,0.025143,2
159.0779419,-0.269788533449173,90.0144,0.025147,2
158.6907501,-0.269788533449173,90.0144,0.025154,2
158.3038025,-0.269788533449173,90.0144,0.02516,2
158.0394592,-0.269788533449173,90.0144,0.025165,2
157.6504974,-0.269788533449173,90.0144,0.025172,2
157.3769073,-0.269788533449173,90.0144,0.025177,2
157.1246643,-0.269788533449173,90.0144,0.025182,2
156.8502808,-0.269788533449173,90.0144,0.025186,2
156.5951538,-0.269788533449173,90.0144,0.025188,2
156.252182,-0.269788533449173,90.0144,0.025191,2
156.0059204,-0.269788533449173,90.0144,0.025193,2
155.6785736,-0.269788533449173,90.0144,0.025195,2
155.3409576,-0.269788533449173,90.0144,0.025197,2
154.9705353,-0.269788533449173,90.0144,0.025199,2
154.6314545,-0.269788533449173,90.0144,0.025201,2
154.1663361,-0.269788533449173,90.0144,0.025204,2
153.9285736,-0.269788533449173,90.0144,0.025205,2
153.6165771,-0.269788533449173,90.0144,0.025207,2
153.2883453,-0.269788533449173,90.0144,0.025207,2
152.9049988,-0.269788533449173,90.0144,0.025208,2
152.5691376,-0.269788533449173,90.0144,0.025209,2
152.1742554,-0.269788533449173,90.0144,0.025209,2
151.866745,-0.269788533449173,90.0144,0.02521,2
151.5474854,-0.269788533449173,90.0144,0.02521,2
151.1671295,-0.269788533449173,90.0144,0.02521,2
150.8314972,-0.269788533449173,90.0144,0.025211,2
150.4511566,-0.269788533449173,90.0144,0.025211,2
149.9975586,-0.269788533449173,90.0144,0.025212,2
149.6912079,-0.269788533449173,90.0144,0.025213,2
149.3773804,-0.269788533449173,90.0144,0.025214,2
149.0478363,-0.269788533449173,90.0144,0.025215,2
148.6565399,-0.269788533449173,90.0144,0.025216,2
148.3187561,-0.269788533449173,90.0144,0.025216,2
148.027832,-0.269788533449173,90.0144,0.025217,2
147.6967316,-0.269788533449173,90.0144,0.025217,2
147.3044739,-0.269788533449173,90.0144,0.025218,2
146.9494476,-0.269788533449173,90.0144,0.025218,2
146.618042,-0.269788533449173,90.0144,0.025219,2
146.2446442,-0.269788533449173,90.0144,0.025219,2
145.9433136,-0.269788533449173,90.0144,0.02522,2
145.6096497,-0.269788533449173,90.0144,0.02522,2
